step, L_x0, L_y0, L_x1, L_y1, L_x2, L_y2, L_x3, L_y3
11641, 160, 40,  236, 152, 300, 17, 394, 151
11642, 200, 88,  267, 213, 345, 48, 400, 173
11643, 205, 32,  242, 116, 332, 23, 371, 102
11644, 247, 61,  274, 118, 315, 20, 355, 97
11694, 203, 28,  220, 173, 330, 13, 331, 198
11695, 221, 31,  218, 157, 333, 15, 331, 167
11696, 200, 22,  204, 173, 321, 16, 328, 166
11697, 207, 20,  219, 195, 341, 8, 356, 152
11698, 224, 33,  222, 201, 322, 10, 325, 168
11699, 224, 31,  210, 144, 331, 19, 327, 155
11700, 222, 31,  215, 191, 331, 15, 332, 160
11701, 222, 37,  197, 198, 348, 23, 322, 172
11702, 232, 57,  202, 214, 372, 41, 337, 185
11703, 230, 57,  199, 215, 361, 56, 340, 198
11704, 229, 36,  206, 177, 356, 21, 338, 183
11705, 205, 25,  193, 176, 331, 12, 329, 173
11750, 168, 24,  145, 171, 328, 12, 301, 132
11751, 175, 22,  138, 182, 334, 19, 306, 125
11752, 183, 21,  144, 185, 333, 18, 284, 192
11753, 162, 15,  147, 166, 301, 8, 294, 134
11754, 161, 34,  164, 184, 283, 32, 290, 196
11755, 164, 26,  158, 206, 309, 28, 296, 191
11756, 169, 24,  159, 197, 313, 19, 299, 161
11757, 158, 20,  147, 175, 314, 18, 302, 185
11758, 164, 75,  151, 161, 305, 77, 286, 167
11759, 149, 64,  152, 194, 299, 76, 294, 177
11760, 176, 44,  162, 176, 314, 58, 297, 170
11761, 178, 38,  167, 168, 289, 30, 273, 162
11762, 157, 36,  159, 182, 298, 59, 291, 168
11763, 151, 37,  167, 150, 296, 18, 306, 157
11764, 151, 51,  159, 196, 313, 38, 313, 157
11765, 150, 40,  163, 194, 288, 21, 306, 156
11766, 164, 51,  173, 188, 296, 41, 302, 155
11767, 174, 51,  170, 195, 305, 38, 311, 146
11768, 170, 44,  171, 181, 296, 29, 306, 156
11769, 164, 36,  169, 183, 296, 27, 317, 170
11770, 154, 47,  169, 182, 295, 23, 314, 161
11771, 159, 31,  171, 187, 297, 24, 311, 143
11772, 159, 48,  170, 181, 302, 26, 319, 157
11773, 161, 51,  177, 193, 309, 36, 323, 161
11774, 171, 33,  181, 176, 304, 17, 326, 154
11775, 166, 28,  186, 172, 307, 14, 335, 147
11789, 183, 17,  240, 180, 319, 11, 379, 173
11790, 162, 37,  239, 180, 321, 19, 403, 145
11791, 184, 43,  261, 184, 320, 20, 401, 153
11792, 180, 35,  284, 196, 323, 15, 402, 164
11800, 189, 18,  268, 149, 346, 39, 400, 125


11840, 200, 25,  188, 145, 359, 22, 350, 150
11841, 191, 43,  190, 137, 352, 23, 336, 161
11842, 204, 28,  185, 96, 380, 22, 360, 105
11843, 202, 25,  170, 165, 366, 17, 342, 148
11844, 185, 35,  174, 135, 352, 19, 334, 129
11845, 191, 23,  179, 123, 356, 18, 326, 178
11846, 183, 39,  168, 155, 346, 26, 331, 174
11847, 192, 44,  168, 161, 359, 49, 335, 174
11848, 190, 27,  167, 158, 349, 22, 324, 166
11849, 202, 39,  166, 161, 379, 46, 341, 167
11850, 189, 30,  163, 161, 374, 42, 337, 186
11851, 194, 26,  163, 179, 360, 37, 325, 194
11852, 197, 24,  157, 191, 371, 37, 334, 181
11853, 199, 24,  148, 193, 370, 34, 325, 187
11854, 188, 18,  159, 142, 355, 27, 320, 152
11855, 192, 19,  157, 136, 345, 19, 302, 156
11856, 182, 17,  152, 166, 345, 24, 298, 154
11857, 191, 9,  155, 114, 366, 28, 321, 149
11900, 155, 24,  104, 143, 328, 27, 265, 141
11901, 162, 13,  101, 113, 338, 32, 274, 142
11902, 165, 8,  106, 148, 325, 29, 269, 136
11903, 169, 7,  105, 142, 329, 24, 262, 154
11904, 162, 10,  104, 131, 317, 15, 263, 135
11905, 156, 11,  108, 139, 318, 19, 269, 130
11906, 155, 6,  126, 123, 309, 12, 276, 138
11907, 156, 10,  120, 132, 310, 11, 278, 123
11908, 151, 40,  116, 146, 310, 34, 269, 157
11909, 150, 16,  129, 120, 304, 14, 290, 136
11910, 138, 21,  121, 147, 304, 20, 274, 154
11911, 143, 37,  121, 139, 310, 27, 274, 153
11912, 142, 15,  121, 166, 303, 13, 280, 158
11913, 134, 22,  129, 145, 316, 31, 308, 139
11914, 139, 16,  126, 160, 306, 14, 285, 156
11915, 135, 21,  131, 166, 296, 17, 287, 149
11916, 139, 28,  133, 142, 295, 19, 286, 146
11917, 146, 28,  135, 138, 293, 17, 277, 144
11918, 154, 13,  139, 133, 303, 18, 282, 142
11919, 121, 27,  137, 153, 282, 15, 291, 155
11920, 131, 20,  133, 132, 295, 35, 301, 140
11921, 129, 31,  126, 144, 296, 28, 294, 151
11965, 148, 13,  128, 142, 310, 10, 279, 157
11966, 138, 17,  133, 165, 286, 32, 279, 172
11967, 141, 23,  137, 162, 297, 15, 295, 145
11968, 136, 15,  133, 178, 288, 11, 283, 171
11969, 129, 25,  148, 214, 287, 12, 302, 182
11970, 118, 24,  129, 172, 292, 11, 304, 143
11971, 127, 24,  145, 174, 295, 21, 315, 144
11972, 131, 19,  144, 153, 294, 13, 315, 140
11973, 119, 19,  154, 145, 293, 12, 327, 149
11974, 140, 24,  152, 162, 288, 15, 297, 151
11975, 133, 12,  160, 197, 302, 12, 315, 162
11976, 152, 22,  158, 146, 287, 31, 297, 147
11977, 147, 24,  155, 200, 298, 16, 320, 164
11978, 136, 22,  151, 155, 284, 22, 297, 142
11979, 142, 22,  154, 172, 290, 15, 305, 143
11980, 134, 26,  151, 150, 294, 12, 304, 138
11981, 136, 24,  153, 178, 300, 14, 311, 142
11982, 136, 18,  156, 140, 299, 9, 317, 123
11983, 133, 15,  158, 166, 294, 11, 309, 140


11995, 130, 29,  169, 153, 300, 15, 347, 159
11996, 132, 24,  180, 141, 299, 17, 343, 136
11997, 143, 36,  191, 148, 308, 15, 351, 129
11998, 144, 25,  173, 132, 307, 10, 336, 121
11999, 147, 26,  174, 143, 313, 12, 340, 119
12000, 147, 37,  179, 164, 311, 18, 352, 146
12001, 150, 22,  187, 146, 318, 20, 339, 138
12002, 149, 21,  186, 136, 310, 21, 347, 137
12003, 157, 29,  187, 140, 308, 18, 345, 136
12004, 166, 38,  218, 179, 302, 31, 359, 185
12005, 153, 31,  192, 156, 312, 16, 353, 152
12006, 165, 26,  188, 128, 309, 20, 336, 142
12007, 161, 20,  200, 157, 312, 12, 358, 168
12008, 180, 15,  200, 123, 322, 16, 335, 141
12009, 174, 20,  200, 151, 317, 12, 345, 136
12010, 172, 12,  201, 162, 317, 9, 359, 165
12011, 174, 14,  214, 165, 320, 13, 363, 174
12012, 184, 17,  226, 178, 308, 11, 342, 125
12013, 191, 20,  222, 156, 327, 10, 351, 164
12014, 198, 21,  209, 147, 297, 16, 308, 159
12300, 188, 13,  167, 128, 316, 12, 298, 141
12301, 193, 15,  169, 151, 324, 9, 299, 138
12302, 190, 14,  164, 148, 327, 37, 304, 149
12303, 193, 14,  166, 148, 336, 15, 308, 143
12304, 185, 12,  171, 146, 311, 33, 288, 191
12305, 172, 11,  168, 144, 309, 34, 305, 145
12306, 191, 16,  171, 142, 318, 16, 302, 131
12307, 178, 24,  151, 146, 308, 25, 278, 167
12308, 184, 22,  161, 137, 320, 24, 291, 131
12309, 186, 19,  160, 168, 318, 22, 286, 170
12310, 191, 17,  154, 178, 310, 13, 282, 159
12311, 190, 15,  159, 174, 303, 8, 284, 158
12312, 192, 19,  158, 185, 300, 16, 276, 154
12313, 188, 15,  159, 153, 302, 13, 276, 152
12314, 186, 12,  158, 174, 316, 7, 280, 151


15259, 175, 57,  128, 190, 296, 36, 264, 137
15260, 167, 56,  123, 191, 298, 52, 259, 185


15265, 172, 34,  125, 180, 295, 59, 238, 221


15265, 165, 25,  115, 166, 327, 37, 264, 192
15266, 171, 34,  123, 173, 293, 54, 254, 176
15267, 178, 28,  119, 184, 311, 54, 259, 193
15268, 184, 24,  131, 185, 301, 28, 261, 177
15269, 182, 24,  125, 192, 302, 29, 260, 177
15270, 150, 56,  108, 206, 279, 52, 251, 175
15529, 205, 29,  281, 151, 302, 13, 379, 125
15530, 192, 22,  255, 137, 309, 6, 366, 118
15531, 202, 30,  259, 138, 312, 10, 370, 119
15532, 209, 30,  278, 157, 319, 13, 382, 126
15533, 210, 31,  280, 157, 304, 12, 382, 123
15534, 215, 29,  260, 136, 350, 21, 380, 112
15535, 199, 34,  257, 131, 336, 21, 380, 113
15536, 207, 32,  254, 132, 335, 16, 386, 109
15530, 203, 19,  260, 134, 324, 11, 376, 126
15530, 209, 30,  256, 137, 330, 23, 367, 118
15531, 211, 18,  253, 138, 320, 13, 360, 108
15532, 197, 31,  257, 142, 322, 31, 369, 117
15533, 208, 45,  259, 132, 332, 18, 382, 98
15534, 209, 36,  262, 138, 335, 17, 376, 114
15535, 213, 32,  260, 133, 334, 15, 382, 111
15536, 205, 36,  255, 132, 330, 15, 378, 111
15537, 207, 34,  261, 136, 335, 13, 390, 113
15538, 212, 32,  265, 135, 346, 13, 394, 108
15539, 214, 33,  273, 133, 334, 14, 385, 101
15540, 214, 29,  265, 138, 339, 13, 404, 127
15541, 216, 30,  268, 134, 337, 14, 399, 123
15542, 200, 23,  271, 124, 319, 16, 377, 93
15543, 201, 26,  268, 134, 334, 17, 394, 125
15919, 195, 22,  130, 177, 280, 42, 223, 164
15920, 188, 34,  125, 197, 275, 47, 227, 183
15921, 183, 26,  149, 184, 284, 24, 254, 165
15922, 189, 19,  138, 165, 300, 30, 259, 162
15923, 173, 16,  129, 123, 305, 15, 245, 167
15924, 171, 21,  137, 132, 305, 13, 263, 150
15925, 183, 18,  137, 149, 310, 18, 249, 166
15926, 183, 17,  129, 140, 287, 26, 230, 157
15927, 190, 20,  126, 149, 299, 17, 232, 166
15928, 172, 15,  120, 160, 297, 16, 250, 152
15929, 192, 21,  134, 160, 288, 15, 228, 164
15930, 184, 15,  138, 131, 292, 11, 230, 150
15931, 190, 21,  135, 144, 300, 14, 250, 137
15932, 196, 21,  134, 146, 300, 13, 235, 149
15990, 163, 36,  186, 136, 300, 13, 330, 152
15991, 175, 16,  201, 155, 290, 26, 310, 139
15992, 165, 15,  190, 127, 295, 13, 317, 142
15993, 174, 28,  198, 158, 295, 12, 319, 148
15994, 163, 20,  192, 154, 295, 12, 327, 157
15995, 169, 41,  193, 155, 303, 20, 320, 146
15996, 170, 30,  194, 138, 276, 22, 291, 124
15997, 156, 32,  191, 157, 293, 48, 322, 165
15998, 174, 41,  191, 181, 309, 34, 335, 152
15999, 180, 27,  202, 170, 316, 25, 347, 185
16000, 176, 33,  197, 180, 314, 25, 344, 177
16001, 173, 36,  200, 173, 306, 24, 335, 171
16002, 173, 46,  198, 187, 310, 27, 334, 177
16003, 178, 41,  210, 196, 302, 23, 330, 160
16004, 166, 20,  194, 142, 304, 10, 329, 153
16005, 206, 41,  214, 205, 330, 34, 342, 210
16006, 177, 25,  194, 177, 310, 24, 327, 142


16006, 178, 25,  195, 173, 318, 24, 327, 141
16007, 173, 33,  201, 159, 302, 21, 326, 132
16008, 172, 22,  196, 148, 300, 14, 335, 166
16009, 176, 31,  202, 144, 307, 16, 335, 140
16010, 172, 27,  201, 151, 317, 23, 345, 142
16011, 175, 37,  200, 169, 311, 24, 334, 154
16012, 174, 30,  196, 143, 306, 19, 331, 142
16013, 174, 27,  193, 164, 319, 16, 343, 162
16014, 178, 20,  187, 159, 322, 22, 330, 135
16015, 176, 18,  181, 141, 326, 11, 332, 133
16016, 177, 39,  185, 183, 321, 23, 335, 181
16017, 171, 24,  179, 160, 320, 18, 336, 173
16080, 167, 28,  129, 144, 314, 32, 290, 152
16081, 163, 88,  129, 183, 319, 63, 278, 168
16082, 172, 33,  132, 163, 327, 35, 282, 160
16083, 173, 31,  135, 159, 330, 28, 298, 148
16084, 171, 28,  131, 177, 321, 17, 288, 130
16085, 164, 22,  133, 173, 311, 15, 284, 124
16086, 157, 23,  132, 174, 307, 17, 280, 126
16087, 155, 22,  131, 193, 321, 20, 295, 165
16088, 184, 19,  147, 201, 309, 14, 284, 171
16089, 182, 17,  146, 199, 326, 19, 303, 155
16090, 196, 18,  150, 196, 321, 24, 298, 173
16091, 176, 17,  145, 191, 306, 15, 291, 186
16092, 175, 12,  145, 282, 367, 30, 347, 176
16093, 193, 17,  154, 188, 321, 15, 288, 173
16094, 164, 10,  154, 179, 302, 10, 298, 172
16095, 179, 15,  160, 202, 310, 15, 302, 181
16096, 191, 30,  166, 197, 327, 18, 310, 178
16097, 197, 18,  159, 190, 323, 15, 301, 180
16098, 186, 34,  176, 194, 327, 28, 321, 156
16099, 170, 38,  178, 225, 310, 26, 314, 150
16100, 165, 38,  163, 161, 308, 29, 312, 167
16172, 192, 29,  273, 137, 336, 18, 419, 124
16173, 187, 35,  272, 133, 360, 23, 446, 118
16174, 198, 52,  287, 148, 343, 21, 452, 142
16175, 197, 33,  281, 138, 346, 11, 428, 117
16176, 193, 35,  286, 143, 342, 11, 461, 129
16177, 184, 24,  275, 135, 346, 15, 460, 143
16178, 195, 35,  292, 140, 344, 15, 452, 113
16179, 216, 64,  301, 141, 345, 19, 431, 103
16180, 196, 44,  306, 136, 339, 16, 446, 102
16181, 203, 57,  309, 142, 345, 13, 458, 98
16182, 192, 38,  318, 144, 337, 12, 462, 108
16183, 220, 39,  292, 129, 382, 23, 450, 99
16233, 196, 38,  297, 144, 336, 13, 461, 136
16234, 194, 28,  289, 141, 338, 6, 456, 117
16235, 197, 36,  285, 137, 334, 13, 432, 106
16236, 223, 59,  303, 153, 388, 32, 464, 104
16237, 196, 58,  289, 139, 377, 24, 457, 105
16238, 196, 47,  284, 144, 359, 20, 439, 105
16239, 206, 35,  290, 140, 359, 20, 449, 119
16240, 199, 35,  291, 136, 337, 19, 437, 119
16241, 197, 44,  283, 144, 341, 14, 447, 120
16242, 195, 37,  294, 143, 379, 30, 493, 140
16243, 183, 43,  290, 142, 346, 17, 458, 147
16244, 198, 34,  314, 161, 339, 10, 461, 122
16245, 198, 33,  289, 146, 356, 19, 476, 158
16246, 197, 44,  318, 169, 361, 22, 494, 173
16247, 221, 67,  329, 185, 376, 27, 465, 127
16248, 195, 43,  295, 154, 360, 20, 449, 133

16310, 184, 21,  246, 155, 325, 9, 393, 156

16311, 174, 19,  262, 163, 318, 11, 411, 155
16312, 184, 13,  240, 150, 327, 11, 396, 177
16313, 182, 18,  234, 150, 330, 12, 376, 161
16314, 187, 12,  234, 154, 326, 11, 373, 160
16315, 200, 15,  232, 148, 341, 16, 372, 158
16316, 184, 20,  227, 149, 338, 13, 378, 151
16317, 183, 18,  225, 154, 336, 13, 372, 166
16318, 194, 16,  225, 143, 338, 10, 370, 144
16319, 190, 21,  202, 153, 379, 19, 392, 154
16320, 201, 19,  220, 154, 365, 20, 378, 146
16321, 200, 16,  205, 152, 371, 25, 377, 138
16322, 200, 18,  214, 155, 342, 12, 355, 138
16391, 210, 23,  292, 135, 322, 12, 396, 95
16392, 199, 27,  278, 80, 334, 13, 425, 80
16393, 202, 25,  279, 100, 342, 10, 428, 83
16394, 197, 16,  275, 97, 338, 8, 424, 90
16395, 197, 15,  262, 106, 341, 10, 414, 106
16396, 191, 13,  250, 97, 341, 10, 406, 86
16397, 192, 34,  255, 102, 364, 20, 428, 90
16398, 206, 35,  274, 110, 343, 18, 413, 89
16399, 190, 36,  280, 129, 347, 16, 440, 100
16400, 189, 27,  261, 115, 338, 15, 413, 111
16401, 201, 28,  264, 113, 340, 12, 407, 91
16402, 212, 27,  279, 102, 344, 13, 421, 97


16402, 201, 35,  296, 132, 336, 13, 431, 121
16403, 195, 31,  275, 116, 335, 7, 412, 94
16404, 200, 23,  275, 116, 339, 11, 409, 94
16405, 202, 27,  271, 111, 329, 13, 398, 94
16406, 205, 25,  279, 110, 329, 9, 408, 94
16407, 199, 28,  275, 113, 340, 10, 425, 103
16408, 183, 9,  272, 109, 334, 11, 411, 98
16409, 198, 25,  270, 117, 337, 10, 421, 102
16410, 202, 23,  279, 111, 372, 22, 420, 100
16411, 191, 13,  256, 115, 342, 10, 397, 97
16412, 195, 35,  285, 120, 338, 15, 439, 111
16413, 210, 25,  297, 132, 370, 19, 428, 107
16480, 152, 26,  150, 114, 302, 11, 299, 88
16481, 146, 9,  148, 116, 299, 8, 302, 85
16482, 148, 11,  155, 117, 301, 4, 311, 144
16483, 146, 11,  152, 125, 296, 10, 298, 79
16484, 131, 12,  145, 116, 303, 9, 307, 85
16485, 149, 10,  155, 122, 300, 8, 311, 87
16486, 149, 11,  151, 117, 305, 6, 312, 85
16487, 139, 20,  155, 124, 293, 5, 302, 73
16488, 142, 7,  155, 121, 297, 9, 308, 154
16489, 146, 10,  150, 104, 308, 5, 310, 134
16490, 138, 12,  151, 135, 295, 6, 307, 153
16491, 163, 11,  168, 160, 296, 8, 304, 158
16492, 156, 5,  158, 111, 298, 4, 300, 71
16493, 163, 11,  166, 158, 297, 7, 295, 156
16494, 160, 11,  165, 150, 307, 12, 314, 161
16495, 184, 11,  175, 187, 304, 6, 294, 171
16496, 178, 14,  173, 168, 304, 8, 299, 150
16497, 176, 10,  166, 161, 312, 9, 307, 146
16498, 188, 9,  177, 175, 326, 12, 308, 151
16499, 184, 16,  170, 166, 316, 9, 302, 164
16560, 169, 21,  214, 126, 327, 10, 392, 120
16561, 169, 13,  198, 74, 327, 10, 357, 68
16562, 185, 13,  212, 117, 358, 15, 387, 117
16563, 185, 12,  225, 146, 343, 15, 374, 147
16564, 166, 12,  199, 123, 325, 9, 360, 133
16565, 175, 14,  237, 164, 315, 11, 372, 156
16566, 179, 9,  235, 174, 334, 9, 381, 173
16567, 193, 13,  230, 162, 331, 10, 366, 157
16568, 189, 8,  224, 155, 331, 8, 363, 149
16569, 180, 7,  210, 136, 303, 11, 337, 150
16570, 177, 16,  208, 135, 339, 11, 360, 135


16571, 194, 17,  218, 149, 319, 8, 344, 133
16572, 183, 12,  214, 168, 313, 8, 339, 143
16573, 175, 25,  201, 142, 313, 13, 335, 132
16574, 185, 12,  205, 123, 313, 8, 326, 112
16575, 176, 19,  201, 122, 316, 10, 337, 122
16576, 176, 15,  199, 143, 318, 7, 339, 140
16577, 182, 11,  212, 150, 322, 8, 348, 155
16578, 173, 15,  196, 131, 318, 13, 341, 145
16579, 168, 14,  191, 130, 314, 10, 333, 151
16580, 176, 27,  198, 140, 311, 9, 336, 153
16581, 168, 23,  192, 126, 314, 12, 330, 140
16582, 194, 15,  201, 112, 306, 10, 315, 92
16583, 190, 11,  202, 105, 307, 8, 308, 137
16584, 191, 12,  202, 165, 313, 8, 321, 152
16585, 172, 15,  184, 132, 300, 9, 313, 144
16586, 171, 17,  184, 121, 303, 11, 311, 132
16587, 174, 14,  178, 139, 305, 10, 311, 137
16588, 167, 13,  175, 129, 309, 8, 309, 109
16589, 178, 11,  181, 104, 313, 9, 309, 121
16636, 163, 24,  167, 124, 313, 7, 313, 129
16637, 182, 14,  178, 106, 310, 11, 308, 144
16638, 171, 22,  166, 132, 301, 11, 291, 152
16639, 153, 12,  160, 150, 298, 10, 303, 120
16640, 153, 9,  161, 145, 302, 8, 298, 141
16641, 158, 15,  169, 135, 301, 7, 308, 121
16642, 180, 11,  180, 163, 303, 6, 305, 168
16643, 176, 16,  174, 155, 304, 8, 297, 148
16644, 168, 13,  172, 148, 294, 7, 297, 141
16645, 170, 16,  176, 145, 307, 8, 310, 141
16646, 182, 15,  173, 142, 292, 11, 290, 123
16647, 157, 16,  161, 112, 301, 8, 304, 127
16648, 162, 18,  167, 142, 306, 8, 311, 124
16649, 179, 9,  179, 126, 308, 8, 303, 113
16650, 189, 12,  178, 121, 313, 7, 297, 112
16651, 185, 9,  168, 156, 309, 8, 290, 170
16652, 183, 16,  174, 141, 312, 10, 298, 103
16653, 185, 15,  174, 149, 302, 9, 290, 142


16653, 168, 34,  173, 163, 297, 6, 292, 152
16654, 184, 15,  178, 145, 301, 9, 285, 133
16655, 178, 19,  181, 157, 301, 9, 292, 137
16656, 161, 17,  178, 138, 306, 11, 313, 151
16657, 161, 24,  175, 150, 296, 11, 303, 132
16658, 164, 12,  176, 144, 297, 7, 299, 122
16659, 154, 12,  175, 168, 306, 9, 319, 130
16660, 170, 11,  170, 138, 297, 8, 293, 91
16661, 185, 10,  164, 126, 309, 8, 284, 86
16672, 153, 27,  171, 138, 289, 15, 300, 108
16720, 189, 16,  200, 131, 307, 8, 324, 149
16721, 208, 23,  216, 165, 310, 11, 323, 159
16722, 191, 15,  194, 157, 317, 9, 323, 156
16723, 183, 20,  190, 132, 323, 9, 325, 146
16724, 203, 32,  217, 173, 302, 24, 315, 174
16725, 202, 22,  204, 155, 330, 23, 333, 170
16726, 198, 18,  209, 159, 309, 12, 323, 170
16727, 183, 14,  186, 135, 323, 8, 324, 158
16728, 196, 11,  195, 158, 323, 9, 320, 168
16729, 189, 19,  192, 153, 321, 9, 322, 129
16730, 200, 22,  193, 124, 318, 14, 313, 115
16731, 198, 17,  196, 143, 322, 11, 328, 149
16732, 197, 17,  197, 140, 325, 9, 322, 166
16733, 198, 18,  189, 205, 321, 12, 315, 167
16734, 197, 14,  192, 176, 317, 13, 317, 171
16735, 197, 19,  198, 179, 321, 6, 319, 190
16736, 204, 24,  198, 164, 331, 19, 326, 182
16737, 201, 22,  193, 179, 319, 11, 317, 191
16738, 196, 17,  196, 180, 329, 9, 319, 185
16739, 197, 14,  201, 153, 318, 10, 317, 131
16740, 198, 19,  192, 154, 325, 8, 321, 166
16741, 191, 16,  193, 133, 320, 10, 322, 132
16742, 183, 12,  191, 191, 314, 10, 323, 160
16800, 161, 16,  169, 163, 311, 11, 316, 174
16801, 150, 31,  168, 178, 293, 10, 306, 155
16802, 156, 29,  169, 172, 307, 11, 313, 187
16803, 155, 24,  171, 179, 302, 9, 304, 138
16804, 148, 19,  164, 146, 297, 11, 308, 116
16805, 181, 35,  177, 148, 318, 49, 323, 134
16806, 157, 15,  161, 145, 310, 32, 315, 135
16807, 161, 25,  168, 160, 312, 16, 324, 172
16808, 162, 21,  178, 150, 317, 15, 327, 152
16809, 169, 23,  179, 135, 302, 13, 309, 96
16810, 157, 18,  175, 101, 302, 9, 312, 82
16811, 168, 10,  173, 99, 308, 8, 314, 92
16812, 170, 23,  185, 116, 297, 8, 308, 123
16813, 172, 19,  181, 114, 295, 11, 315, 121
16814, 173, 18,  183, 122, 302, 13, 314, 131
16815, 164, 9,  183, 115, 295, 6, 319, 136
16817, 160, 9,  175, 119, 290, 9, 304, 110
16818, 173, 17,  185, 145, 309, 11, 324, 146
16822, 168, 15,  183, 119, 315, 11, 331, 136
16823, 166, 17,  196, 141, 310, 10, 328, 128
16892, 174, 10,  192, 131, 300, 8, 309, 81
16893, 179, 14,  189, 127, 306, 8, 315, 116
16894, 175, 11,  190, 110, 301, 12, 316, 116
16895, 160, 15,  173, 123, 298, 9, 305, 103
16896, 183, 9,  199, 144, 302, 9, 317, 130
16897, 170, 12,  178, 95, 298, 6, 307, 96
16898, 158, 14,  186, 128, 325, 10, 346, 118
16899, 141, 20,  173, 119, 298, 9, 327, 148
16900, 167, 11,  195, 138, 304, 18, 317, 113
16901, 174, 11,  205, 130, 297, 10, 330, 152
16902, 164, 12,  200, 141, 303, 11, 330, 145
16903, 178, 9,  219, 125, 309, 9, 338, 105
16909, 184, 12,  198, 116, 306, 14, 318, 122
16910, 174, 12,  199, 106, 298, 10, 324, 119
16911, 175, 16,  191, 92, 308, 12, 324, 112
16912, 179, 29,  205, 139, 321, 17, 349, 129
16913, 197, 24,  206, 94, 314, 9, 329, 107
16914, 185, 16,  203, 104, 314, 9, 335, 110
16915, 182, 21,  209, 85, 317, 11, 350, 95
16916, 185, 22,  208, 85, 307, 9, 336, 98
16917, 178, 23,  209, 121, 308, 11, 339, 122
16918, 174, 38,  234, 142, 307, 13, 354, 126
16919, 179, 16,  211, 102, 307, 8, 342, 115
16920, 183, 34,  232, 141, 319, 10, 360, 121
16921, 184, 17,  232, 138, 329, 8, 367, 143
16922, 178, 32,  221, 145, 311, 9, 348, 126
16923, 173, 18,  218, 151, 326, 9, 372, 127


16923, 176, 42,  201, 92, 313, 11, 353, 98
16924, 178, 33,  218, 117, 312, 8, 354, 107
16925, 173, 36,  222, 135, 321, 12, 359, 112
16926, 191, 27,  231, 138, 315, 9, 351, 103
16984, 170, 25,  144, 134, 323, 9, 290, 133
16985, 176, 16,  153, 111, 325, 12, 299, 117
16986, 183, 22,  150, 177, 308, 12, 275, 149
16987, 143, 16,  131, 129, 304, 9, 286, 121


16988, 169, 31,  156, 124, 304, 9, 278, 121
16989, 175, 12,  148, 116, 295, 12, 270, 136
16990, 167, 21,  148, 116, 308, 10, 286, 113
16991, 166, 30,  139, 111, 320, 10, 296, 94
16992, 154, 6,  129, 116, 308, 8, 288, 104
16993, 161, 19,  134, 94, 317, 10, 291, 107
16994, 161, 15,  142, 96, 310, 7, 301, 59
16995, 147, 27,  131, 123, 306, 11, 288, 106
16996, 147, 16,  132, 139, 301, 7, 284, 109
16997, 166, 29,  138, 139, 299, 23, 279, 117
16998, 145, 7,  131, 85, 297, 5, 282, 92
16999, 158, 7,  133, 118, 298, 5, 269, 133
17084, 154, 8,  183, 123, 299, 7, 326, 128
17085, 149, 6,  181, 102, 297, 4, 327, 123
17086, 152, 12,  185, 113, 292, 12, 333, 128
17087, 158, 27,  188, 142, 310, 13, 343, 128
17088, 163, 12,  188, 107, 310, 15, 330, 122
17089, 170, 28,  191, 136, 309, 13, 322, 94
17090, 170, 32,  186, 135, 315, 14, 332, 124
17334, 176, 20,  160, 135, 300, 10, 275, 110
17335, 168, 15,  146, 129, 300, 8, 266, 131
17336, 175, 29,  151, 125, 301, 20, 268, 132
17337, 180, 22,  144, 137, 304, 10, 277, 89
17338, 170, 23,  137, 129, 305, 12, 269, 114
17339, 161, 17,  112, 124, 310, 10, 248, 138
17340, 176, 19,  125, 127, 311, 15, 259, 152
17341, 169, 15,  113, 122, 319, 16, 274, 101
17342, 161, 24,  123, 103, 304, 22, 266, 101
17343, 166, 27,  112, 112, 299, 25, 247, 119
17350, 162, 11,  107, 103, 283, 26, 225, 117
17351, 165, 9,  119, 84, 274, 27, 221, 111



17361, 166, 7,  122, 76, 299, 11, 268, 57
17362, 166, 9,  120, 90, 290, 11, 270, 51
17363, 152, 9,  111, 81, 294, 8, 276, 47
17364, 173, 11,  131, 83, 282, 16, 250, 68
17365, 169, 11,  136, 86, 288, 13, 270, 52
17366, 169, 11,  125, 80, 297, 6, 274, 51
17484, 126, 11,  149, 77, 278, 18, 298, 72
17485, 131, 6,  156, 67, 282, 17, 303, 72
17486, 123, 12,  149, 60, 292, 23, 302, 65
17487, 129, 44,  167, 110, 277, 18, 316, 105
17488, 135, 57,  189, 147, 290, 16, 322, 89
17506, 174, 27,  201, 92, 318, 18, 363, 117
17507, 177, 26,  205, 87, 324, 23, 357, 116
17508, 192, 13,  224, 97, 321, 11, 366, 113
17509, 179, 23,  204, 80, 304, 6, 309, 29
17514, 190, 7,  210, 83, 345, 13, 370, 102
17515, 179, 12,  201, 78, 337, 12, 357, 92
17516, 183, 12,  208, 95, 359, 16, 380, 111
17517, 169, 12,  206, 93, 331, 9, 358, 99
17518, 167, 12,  207, 95, 337, 5, 377, 115
17668, 186, 21,  209, 107, 312, 12, 325, 77
17669, 177, 7,  193, 77, 315, 12, 320, 74
17670, 173, 5,  189, 66, 304, 9, 321, 71
17671, 183, 10,  196, 82, 310, 7, 318, 73
17672, 182, 8,  197, 82, 311, 8, 321, 71
17673, 201, 13,  207, 74, 307, 4, 315, 65
